29279
1,꿩불고기,500,368.8,39.7,33.5,8.5,16.9,1264.31,106.18,1.9
2,닭갈비,400,595.61,44.9,45.9,25.8,21.2,1535.83,193.4,6
3,닭갈비,300,558.47,23.1,45.5,31.6,8.5,1016.94,217.67,11.3
4,닭꼬치,70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32
5,더덕구이,100,184,31.1,3.1,5.2,11.6,743.37,0.12,0.8
6,도미구이,250,397,2.1,61.1,16.5,0,1582.17,211.24,3.8
7,돼지갈비,100,240.32,8.1,19.5,14.4,4.5,404.66,49.34,4.7
8,병어구이,250,488,0.2,54.6,30.8,0,1567.94,198.51,8.9
9,불고기,150,395.29,7.8,34.4,25.2,7.9,560.71,68.85,6.6
10,붕장어소금구이,100,296.54,11.6,26,16.2,0.4,124.75,167.07,3.6
11,소양념갈비구이,300,989.15,26.2,60.1,71.6,13.9,1378.45,186.63,27.2
12,양념왕갈비,150,480.81,13.7,27.1,35.3,6.8,548.76,58.52,13
13,양념장어구이,150,433.35,8.8,30.77,30.56,4.18,704.64,215.24,7.11
14,임연수구이,250,494,3.5,53.8,29.4,0,1568.96,212.61,6.1
15,짚불구이곰장어,200,326.21,2.3,42.7,16.2,1.2,826.79,341.83,2.8
16,햄버그스테이크,200,457.7,20.76,26.96,29.65,5.33,950.22,70.28,9.41
17,황태구이,200,437.57,26.9,47.8,15.4,14.2,1135.33,211.58,2.4
18,훈제오리,250,797.14,12.08,43.06,64.07,0.27,1220.37,171,15.98
19,게국지,1100,415.25,31.7,44.9,12.1,10.8,4047.26,388.15,2
20,곰치국,1000,419.29,23.9,54.3,11.8,2.8,3802.06,476.47,1.4
21,굴국밥,650,683,88.4,42.4,17.8,0.3,1635.39,518.37,3.9
22,김치국,450,89,10.5,5.4,2.8,2.9,1642.08,0,0.3
23,떡만둣국,700,624.92,110.71,20.06,11.32,0.16,1980.19,122.42,3.44
24,만둣국,700,434.05,47.83,21.43,17.45,3.05,2367.99,94.52,4.24
25,맑은감자국,700,221,34.6,8.3,5.5,5.2,1712.29,5.46,0.2
26,매생이국,500,119,13.4,10,2.8,0.4,1420.3,6.62,0.6
27,무된장국,450,104,14.7,6.1,2.4,5.9,1741.46,0,0.3
28,미소된장국,150,38,2.8,2.8,1.8,0.7,517.03,0,0.2
29,바지락조개국,550,157,10.1,22,3.1,1.3,1596.17,89.36,0.6
30,뼈다귀해장국,1000,714,23.4,74.6,35.7,5.7,3088.21,321.72,14.3
31,선지해장국,1000,312,16.7,49.3,5.4,3.9,3074.53,230.52,2.7
32,소고기무국,400,123,7.8,14.2,4,3.5,1067.02,38.43,1.3
33,소고기미역국,650,151,7.7,18.1,5.3,0,1908.91,42.18,2
34,순대국,800,540.3,17.26,43.52,33.02,0,1504.04,246,10.98
35,시래기된장국,450,99,11,6.7,3.1,1.3,1523.66,0,0.3
36,올갱이국,600,144.26,13,13.7,4.2,1.6,2017.16,85.36,0.8
37,우거지해장국,600,154.38,13.5,11.9,5.9,2.5,2049.59,22.37,1.2
38,우렁된장국,500,245,19.2,24.6,7.7,3.6,2134.21,105.38,1.1
39,탕국,250,92.15,0.24,13.18,4.27,0.08,656.75,30.12,1.01
40,홍합미역국,650,167,11.6,19.7,4.7,0,2043.68,58.4,0.9
41,황태해장국,600,181.7,5.7,24.5,6.8,1.5,1533.09,150.3,1.1
42,고추잡채,200,256.77,26.17,10.99,12.01,2.09,828.55,39.26,2.11
43,난자완스,200,346.25,19.15,21.63,20.35,0.5,703.23,76.76,4.59
44,도토리묵말이,1300,462.39,89.7,6.8,8.5,6.3,3206.03,0,1.2
45,라조기,200,398.99,26.23,20.66,23.49,0.15,648.52,90.58,5.15
46,물회,700,529.36,55.3,34.4,18.9,20,2095.9,120.26,2.8
47,생선물회,800,577.97,82.5,34.3,12.3,52,2779.74,101.88,2
48,소고기샤브샤브,600,263.75,14.7,29.1,9.8,2.4,1122.4,76.02,3.7
49,오징어순대,350,466.86,58.3,45.7,5.6,0.4,1258.71,517.44,1.4
50,초당순두부,900,522.69,15.8,49.1,29.2,0.9,1203.36,0,3.8
51,해파리냉채,150,91,13.4,6.2,1.4,11.4,508.77,40.33,0.3
52,고들빼기,50,55.53,10.93,1.58,0.61,2.84,742.43,2.98,0.07
53,열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04
54,미나리나물,50,29.53,2.24,1.02,1.83,0,150.33,0,0.25
55,취나물,50,74.1,3.31,1.38,6.15,0,281.86,0,0.84
56,콩나물,50,25.34,0.94,1.68,1.65,0.02,213.95,0,0.22
57,경단(깨),100,319.47,74.22,4.44,0.54,26.64,180,0,0.46
58,경단(콩),100,314.32,74.03,3.51,0.46,20.55,225.83,0,0.19
59,기피편,100,219.97,48.99,5.45,0.25,2.08,281.06,0,0.13
60,녹두시루떡,100,246.07,48.08,7.74,2.53,4.05,263.66,0,0.52
61,메밀전병,100,167.83,21.62,6.19,6.29,0.62,345.81,8.05,1.19
62,무지개떡,100,228.97,53.01,3.53,0.31,8.99,276.82,0,0.16
63,송편(깨),100,224.15,44.96,4.93,2.74,1.15,231.82,0,0.48
64,송편(콩),100,194.33,41.66,5.24,0.75,1.26,233.5,0,0.24
65,수수부꾸미,100,247.89,42.1,5.73,6.29,0.24,261,0,0.97
66,수수팥떡,100,204.24,43.03,6.7,0.59,2.82,241.93,0,0.17
67,시루떡,100,217.48,47.54,5.47,0.61,3.22,277.91,0,0.24
68,쑥떡,100,248.64,57.89,3.36,0.4,10.73,254.32,0,0.2
69,절편,100,192.89,43.94,3.64,0.29,0.07,265.87,0.03,0.19
70,찹쌀떡,100,276.87,65.61,3.27,0.15,17.54,225.61,0,0.15
71,간자장,650,824.54,134.22,22.33,22.03,12.16,2716.2,28.73,9.71
72,굴짬뽕,900,680.67,115.69,32.87,9.61,1.7,2662.35,163.31,1.41
73,기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.55,2.12
74,김치라면,650,552,86.2,13.8,16.9,1.2,2531.6,45.65,6.8
75,김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83
76,냉김치말이국수,600,302.53,52,12.9,4.8,8.3,2121.62,88.95,1.1
77,닭칼국수,900,663,94.7,42.2,12.8,5.3,2125.17,95.67,2.5
78,둘깨칼국수,600,457.88,59.8,17.6,16.5,1.4,1192.57,3.36,1.5
79,막국수,1000,571.59,109.8,20,5.8,9.4,3260.05,43.17,1
80,삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02
81,삼선자장면,700,803.9,126.53,33.64,18.14,10.15,2628.24,166.57,4.06
82,삼선짬뽕,900,662.37,101.73,39.63,10.77,1.09,2689.13,312.48,1.91
83,쌀국수,600,320.32,55.1,15.6,4.2,4.3,1651.58,33.6,1.4
84,열무김치국수,800,431,69.6,15,10.2,18.6,3007.45,15.37,0.6
85,열무냉면,800,525.49,97.52,20.84,5.78,27.15,3152.37,67.78,1.36
86,오일소스스파게티,400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62,3.89
87,올갱이국수,1500,566,111.6,11.2,8.3,18.6,3862.84,0,1.5
88,우동(일식),700,421.51,74.2,13.39,7.91,2.48,2390.32,25.98,1.49
89,우동(중식),1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42,3.35
90,울면,1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79,1.85
91,자장면,650,796.5,133.63,19.77,20.32,7.8,2391.58,10.76,8.52
92,짬뽕라면,750,689,92,21.3,26.3,1.6,2493.81,106.69,8.6
93,치즈라면,600,595,80,16.8,23,0.9,2113.4,103.67,9.4
94,크림소스스파게티,400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58,25.67
95,토마토소스스파게티,500,642.58,93.2,24.35,19.15,15.6,1508.63,49.17,5.44
96,해물칼국수,900,628.26,123.9,22.8,4.61,3.81,2355.07,26.7,1.3
97,해물크림소스스파게티,500,917.57,86.97,30.39,49.79,8.36,1323.7,210.89,24.73
98,해물토마토소스스파게티,500,584.44,87.24,27.97,13.73,13.48,1533.16,159.64,3.14
99,골뱅이무침,100,108.79,15.69,7.08,1.97,10.47,525.52,38.35,0.26
100,노각무침,150,84,14.3,2.6,1.8,7.1,817.37,0,0.2
101,단무지무침,50,20,2.8,0.5,0.8,0.7,428.92,0,0.1
102,달래나물무침,150,136,23.8,4,2.8,11.2,867.04,0,0.3
103,더덕무침,150,216,43.4,4.3,2.8,20.2,1246.58,0.17,0.4
104,도토리묵,100,45.6,10.38,0.29,0.32,0.43,124.15,0,0.03
105,밴댕이무침,400,600.01,46,29.8,33,27,1027.23,101.51,4.6
106,서대회무침,300,315.21,45.9,22.6,4.6,22.3,1198.9,67.71,0.5
107,쑥갓나물무침,150,96,6.6,4.5,5.7,0.3,709.99,0.05,0.7
108,우거지나물무침,150,129,8.7,4.5,8.5,1.5,772.52,1.31,1
109,쥐치채,20,55.92,10.9,2.75,0.15,4.55,296.34,8.57,0.19
110,청포묵무침,250,149,22.7,2.9,5.2,1.8,724.02,0,0.8
111,탕평채,100,97.5,12.26,3.55,3.81,0.4,260.4,47.24,0.73
112,홍어무침,200,198.94,25.95,17.85,2.63,14.46,802.04,57.03,0.36
113,고추장불고기삼각김밥,100,165.29,34.11,3.66,1.58,0.21,342.92,3.51,0.45
114,곤드레나물밥,350,521.83,98.9,10.3,9.5,0,90.62,0,0.9
115,국밥,800,418.35,58.6,27.6,8.2,0.4,2301.55,47.81,2.7
116,농어초밥,250,396.74,78.75,17.43,1.34,13.01,1035.04,26.5,0.65
117,돼지국밥,1200,911.4,74.7,66.4,38.6,0,1096.58,142.55,8.4
118,류산슬덮밥,550,574.99,73.95,26.96,19.04,0.42,1579.35,120.87,3.4
119,멍게비빔밥,400,547.21,90.7,16.6,13.1,16.7,1144.8,21.9,2.4
120,멸치주먹밥,150,312,54.3,9,6.6,0.9,496.21,42.45,1.1
121,묵밥,950,642.16,128.6,14.8,7.7,15.1,2075.5,42.65,1.5
122,문어초밥,250,392.23,81.78,14.61,0.74,13.38,1200.86,70.08,0.35
123,비빔밥,450,691.62,98.7,24.6,22,18.3,1119.66,95.42,3.9
124,삼선볶음밥,400,686.11,85.75,26.24,26.46,1.58,1213.56,326.52,6.33
125,새우초밥,250,387.67,78.42,16.8,0.75,11.65,1110.29,72.65,0.55
126,새우튀김롤,300,606.5,96.28,14.47,18.17,11.14,1391.43,55.88,3.41
127,샐러드김밥,250,405.95,61.45,9.62,13.52,3.42,911.18,84.58,2.79
128,생선초밥(광어),300,453.78,77.55,27.07,3.92,7.7,808.75,46.74,1.06
129,생선초밥(모듬),300,461.97,76.43,25.42,6.06,8.65,968.94,70.88,1.51
130,소고기국밥,700,330.53,42.6,21.8,8.1,2.8,1786.31,41.85,2.3
131,소고기김밥,250,400.61,62.52,15.98,9.63,0.84,1061.19,93.09,2.53
132,송이덮밥,600,581.81,95.6,18.21,14.06,2.27,1678.01,48.2,2.79
133,숯불갈비삼각김밥,100,161.24,32.55,4,1.67,0.17,358.36,4.04,0.53
134,약초비빔밥,400,511.8,80.2,11.9,15.9,2.9,971.61,0,2.4
135,연어롤,300,510.19,74.32,18.57,15.4,8.47,1211.9,61.97,2.83
136,연어초밥,250,447.32,71.04,18.88,9.74,12.88,1064.39,32.05,1.84
137,오곡밥,250,388.82,82.32,11.95,1.3,0.17,113.9,0,0.42
138,자장밥,500,741.66,120.06,15.24,22.28,5.37,1560.38,26.44,8.56
139,잡탕밥,750,777.44,104.94,44.12,20.14,0.48,2109.52,329.85,4.07
140,장어덮밥,400,716.54,97.35,30.09,22.98,5.59,920.77,234.56,5.18
141,장어초밥,250,486.26,80.68,16.52,10.83,13.67,1270.91,102.77,2.91
142,참치덮밥,500,679.1,102.93,29.2,16.73,2.98,1618.75,115.79,3.41
143,참치마요네즈삼각김밥,100,172.4,31.95,3.94,3.2,0.02,282.1,4.41,0.6
144,충무김밥,400,583.93,109.16,23.43,5.96,17.19,1294.27,156.85,1.1
145,캘리포니아롤,300,487.64,89.23,12.33,9.05,8.9,1295.88,65.96,2.14
146,한치초밥,250,374.18,77.92,13.71,0.85,13.13,1199.31,100.06,0.45
147,해물덮밥,700,771.93,100.45,42.04,22.44,1.19,1802.68,286.24,5.41
148,해물볶음밥,400,705.22,90.46,25.11,27,1.22,1074.35,241.8,5.38
149,회덮밥,500,683.02,103.3,30.21,16.55,10.93,744.27,88.65,2.9
150,깻잎나물볶음,200,206,11.5,7.5,14.4,0.6,1042.68,0,1.7
151,돼지고기볶음,200,350.67,18.21,22.96,20.67,8.2,1051.76,57.87,5.12
152,돼지껍데기볶음,150,352,24.5,25.8,16.7,5.5,779.81,47.75,4.9
153,두부김치,250,288.21,14.08,19.47,17.12,1.49,989.69,13.92,3.17
154,머위나물볶음,150,108,7.6,3.5,7,1.8,718.63,0,0.8
155,멸치풋고추볶음,20,52.38,3.41,4.65,2.24,1.43,275.54,36.6,0.39
156,소세지볶음,200,471,31.8,18.8,29.9,8.9,1436.06,60.26,8.8
157,순대볶음,400,582,76.7,20.7,21.3,5.4,1500.35,141.72,5.1
158,양송이버섯볶음,150,136,11,4.5,8.3,1.2,515.17,0,1.4
